,text,cnpj,count
1495,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1287.txt,00.612.203/0001-01,2
1534,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1289.txt,00.331.778/0016-03,4
1537,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1289.txt,00.868.640/0001-43,1
1678,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1304.txt,21.822.665/0001-60,1
1796,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/132.txt,13.015.833/0001-55,5
1898,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1391.txt,46.721.473/2020-36,1
1959,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/140.txt,24.810.340/0001-10,1
2141,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1431.txt,05.063.395/0001-30,1
2147,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1431.txt,21.993.497/0001-70,1
2200,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1451.txt,33.871.336/0002-62,1
2224,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1456.txt,27.353.630/0004-04,1
2289,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1511.txt,11.957.593/0001-10,1
2314,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1511.txt,27.708.186/0001-33,1
